緯度,経度,店舗名,詳細
35.68117427,139.7688103,【東京駅】東京駅 グランルーフ フロント店,"営業時間：06:30～22:30

無線LAN：あり"
35.6801556,139.7673141,【東京駅】エキュート京葉ストリート店,"営業時間：07:00～23:00

無線LAN：なし"
35.62925241,139.7401588,【品川駅】JR東海 品川駅店,"営業時間：月～金：06:30～22:00
土日祝：07:00～22:00

無線LAN：あり"
35.50774534,139.6172093,【新横浜駅】キュービックプラザ新横浜3階店,"営業時間：07:00～21:00

無線LAN：あり"
35.50771477,139.617273,【新横浜駅】キュービックプラザ新横浜2階店,"営業時間：07:00～21:00

無線LAN：なし"
35.25659512,139.1554653,【小田原駅】JR東海 小田原駅店,"営業時間：06:30～22:00

無線LAN：あり"
34.97178785,138.389082,【静岡駅】ASTY静岡 西館店,"営業時間：07:00～22:00

無線LAN：あり"
34.70402304,137.7345737,【浜松駅】浜松 メイワン エキマチウエスト店,"営業時間：07:00～22:00

無線LAN：あり"
35.17237926,136.8826593,【名古屋駅】名古屋 タカシマヤ ゲートタワーモール店,"営業時間：07:00～22:00

無線LAN：あり"
35.1693597,136.8815656,【名古屋駅】ＪＲ名古屋駅 太閤通南口店,"営業時間：07:00～22:00

無線LAN：あり"
35.17004872,136.8825583,【名古屋駅】JR名古屋駅　広小路口店,"営業時間：07:00～22:00

無線LAN：あり"
34.73465712,135.5016269,【新大阪駅】エキマルシェ新大阪店,"営業時間：06:30～22:00

無線LAN：なし"
34.73324837,135.500303,【新大阪駅】JR新大阪アルデ店,"営業時間：06:30～22:00

無線LAN：あり"
34.98489521,135.7580858,【京都駅】JR京都駅 新幹線中央口店,"営業時間：07:00～22:00

無線LAN：あり"
34.48936193,133.3625248,【福山駅】JR福山駅店,"営業時間：07:00～21:30

無線LAN：あり"
34.3978589,132.4759643,【広島駅】ekie広島店,"営業時間：07:00～22:00

無線LAN：あり"
33.88654923,130.8824174,【小倉駅】アミュプラザ小倉店,"営業時間：07:00～22:00

無線LAN：あり"
33.59032751,130.4199908,【博多駅】アミュプラザ博多店,"営業時間：10:00～20:00

無線LAN：あり"
32.79032508,130.6886078,【熊本駅】熊本駅店,"営業時間：07:00～22:00

無線LAN：あり"
31.58397007,130.5424216,【鹿児島駅】アミュプラザ鹿児島 プレミアム館1階店,"営業時間：07:00～22:30

無線LAN：あり"
31.58483485,130.5427843,【鹿児島駅】アミュプラザ鹿児島 本館2階店,"営業時間：月～木：10:00～20:30
金土日祝：10:00～21:00

無線LAN：あり"
37.44714898,138.8536266,【長岡駅】CoCoLo長岡店,"営業時間：07:00～22:00

無線LAN：あり"
37.91218856,139.0604574,【新潟駅】CoCoLo新潟西館店,"営業時間：07:00～22:00

無線LAN：あり"